RESPALDO DE FORMULAS 15/7/2025,,,,,,,,
,,,,,,,,
ACRILO 3,NBR ACRILO,DUREZA:,70,,,,,
123,STRUKTOL WB 222,"1,5","0,95","1,0526","0,52","1,5789",11340,"59,4547"
57,DISECANTE RS - KEZADOL GR,6,2,"0,5","2,1",3,"3540,6","74,2524"
,,,,,,,,
,,,,,,,,
AN 128/2 A,Para Tadeo Czerweny,DUREZA:,70,,,,,
244,ACRILO 3,232,"1,34","0,7463","62,25","173,1343",10206,"6353,0775"
47,ACRILO CJLT,29,1,1,"7,78",29,"5493,6","427,4602"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),7,"1,2","0,8333","1,88","5,8333","8114,4","152,4035"
54,ESTEARINA ANIMAL MATER 53 EF,2,"0,85","1,1765","0,54","2,3529","3490,2","18,7293"
53,AZUFRE,"1,2","2,07","0,4831","0,32","0,5797","2154,6","6,9373"
7,"CBS - VULKACIT CZ/EG-C
","1,5","1,25","0,8","0,4","1,2",5355,"21,5522"
4,TMTD - VULKACIT THIURAM/C,1,"1,4","0,7143","0,27","0,7143","4813,2","12,9144"
37,LESTAROX-F - NOMANOX P,2,"1,33","0,7519","0,54","1,5038","8265,6","44,3552"
36,VULKANOX 4020    6PPD,2,"0,99","1,0101","0,54","2,0202",13041,"69,9812"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,69,"2,7","0,3704","18,51","25,5556","844,2","156,2914"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),20,"0,98","1,0204","5,37","20,4082","3844,2857","206,2938"
123,STRUKTOL WB 222,"2,5","0,95","1,0526","0,67","2,6315",11340,"76,0665"
212,STRUKTOL EF 44,"2,5",1,1,"0,67","2,5","12196,8","81,8138"
3,MBT-S  - VULKACIT DM,1,"1,5","0,6667","0,27","0,6667","6249,6","16,7684"
,5/9/23. Reformulación de AN 128/2 REV. 3 para autoclave.,,,,,,,
,,,,,,,,
AN 128/2 A CAUSER,ACRILO 3 EMPASTE CAUSER,DUREZA:,70,,,,,
