RESPALDO DE FORMULAS 15/7/2025,,,,,,,,
,,,,,,,,
ACRILO 3,NBR ACRILO,DUREZA:,70,,,,,
,"23/08/22 - Se ajusta formulación: + 5 phr N990; + 2 phr aceite; +0.3 phr DTDM; -0,1 PHR AZUFRE",,,,,,,
,,,,,,,,
AN 118/1 Rev.1,ACRILO RESISTENTE A ACEITES,DUREZA:,70,,,,,
47,ACRILO CJLT,100,1,1,"46,19",100,"5493,6","2537,4596"
38,NEGRO DE HUMO FEF N 550,65,"1,8","0,5556","30,02","36,1111","2507,4","752,7991"
40,THERMAX FEF N 990,15,"1,8","0,5556","6,93","8,3333",5859,"405,9353"
249,KALFLEX 17 DBP,8,"0,98","0,1869","3,7","8,1633","7495,7143","276,9779"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,8333","2,31","4,1667","8114,4","187,3995"
54,ESTEARINA ANIMAL MATER 53 EF,"1,5","0,85","1,1765","0,69","1,7647","3490,2","24,1815"
123,STRUKTOL WB 222,2,"0,95","1,0526","0,92","2,1053",11340,"104,7575"
212,STRUKTOL EF 44,2,1,1,"0,92",2,"12196,8","112,6725"
37,LESTAROX-F - NOMANOX P,"2,5","1,33","0,7519","1,15","1,8797","8265,6","95,4457"
36,VULKANOX 4020    6PPD,"2,5","0,99","1,0101","1,15","2,5253",13041,"150,5889"
32,CERA MICROCRISTALINA - ANTILUX 654,2,"0,9","1,1111","0,92","2,2222","8580,6","79,2665"
6,SULFADS-RHENOGRAN DTDM-80,1,"1,4","0,7143","0,46","0,7143","15321,6","70,7695"
53,AZUFRE,"0,7","2,07","0,4831","0,32","0,3382","2154,6","6,9664"
7,"CBS - VULKACIT CZ/EG-C
","1,5","1,25","0,8","0,69","1,2",5355,"37,1016"
4,TMTD - VULKACIT THIURAM/C,"1,8","1,4","0,7143","0,83","1,2857","4813,2","40,0174"
57,DISECANTE RS - KEZADOL GR,6,2,"0,5","2,77",3,"3540,6","98,1229"
,,,,,,,,
,,,,,,,,
AN 118/3,ACRILO RESISTENTE A ACEITES,DUREZA:,70,,,,,
244,ACRILO 3,144,"1,34","0,7463","63,67","107,4627",10206,"6498,6248"
47,ACRILO CJLT,28,1,1,"12,38",28,"5493,6","680,1716"
40,THERMAX FEF N 990,20,"1,8","0,5556","8,84","11,1111",5859,"518,1517"
249,KALFLEX 17 DBP,12,"0,98","0,1869","5,31","2,2428","7495,7143","397,7385"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),7,"1,2","0,8333","3,1","5,8333","8114,4","251,1643"
54,ESTEARINA ANIMAL MATER 53 EF,3,"0,85","1,1765","1,33","3,5294","3490,2","46,2994"
123,STRUKTOL WB 222,1,"0,95","1,0526","0,44","1,0526",11340,"50,1437"
212,STRUKTOL EF 44,1,1,1,"0,44",1,"12196,8","53,9323"
37,LESTAROX-F - NOMANOX P,1,"1,33","0,7519","0,44","0,7519","8265,6","36,5492"
36,VULKANOX 4020    6PPD,1,"0,99","1,0101","0,44","1,0101",13041,"57,6653"
32,CERA MICROCRISTALINA - ANTILUX 654,1,"0,9","1,1111","0,44","1,1111","8580,6","37,9421"
6,SULFADS-RHENOGRAN DTDM-80,"1,5","1,4","0,7143","0,66","1,0714","15321,6","101,6246"
53,AZUFRE,"0,8","2,07","0,4831","0,35","0,3865","2154,6","7,6218"
7,"CBS - VULKACIT CZ/EG-C
","1,6","1,25","0,8","0,71","1,28",5355,"37,8864"
4,TMTD - VULKACIT THIURAM/C,"1,9","1,4","0,7143","0,84","1,3571","4813,2","40,4381"
57,DISECANTE RS - KEZADOL GR,0,2,"0,5",0,0,"3540,6",0
3,MBT-S  - VULKACIT DM,"1,35","1,5","0,6667","0,6","0,9","6249,6","37,3069"
,"23/08/22 - Se ajusta formulación: + 5 phr N990; + 2 phr aceite; +0.3 phr DTDM; -0,1 PHR AZUFRE",,,,,,,
,,,,,,,,
AN 120/14,Acrilo Blanco Lacteos,DUREZA:,60,,,,,
47,ACRILO CJLT,100,1,1,"47,08",100,"5493,6","2586,4407"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,40,"2,7","0,3704","18,83","14,8148","844,2","158,9831"
15,ZEOSIL 185 GRANULAR SILICE,35,2,"0,5","16,48","17,5",2709,"446,3983"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),10,"0,98","1,0204","4,71","10,2041","3844,2857","180,9927"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),5,"1,2","0,1795","2,35","4,1667","8114,4","191,0169"
54,ESTEARINA ANIMAL MATER 53 EF,1,"0,85","1,1765","0,47","1,1765","3490,2","16,4322"
53,AZUFRE,"0,5","2,07","0,4831","0,24","0,2415","2154,6","5,072"
7,"CBS - VULKACIT CZ/EG-C
","1,5","1,25","0,8","0,71","1,2",5355,"37,8178"
4,TMTD - VULKACIT THIURAM/C,1,"1,4","0,7143","0,47","0,7143","4813,2","22,661"
37,LESTAROX-F - NOMANOX P,2,"1,33","0,7519","0,94","1,5038","8265,6","77,8305"
35,VULKANOX HS  TMQ,"0,5","0,85","1,1765","0,24","0,5882","4838,4","11,3898"
32,CERA MICROCRISTALINA - ANTILUX 654,"2,5","0,9","1,1111","1,18","2,7778","8580,6","100,9958"
14,VULKALENT G,"0,4","1,3","0,7692","0,19","0,3077","19857,6","37,3966"
33,POLIETILENGLICOL ULTRAPEG 4000 F USP,3,"1,5","0,6667","1,41",2,5796,"81,8644"
22,DIOXIDO DE TITANIO  TIONA,8,"3,16","0,2577","3,77","2,5316",4410,"166,1017"
31,EPSILUB,2,"0,9","1,1111","0,94","2,2222","8290,8","78,0678"
,,,,,,,,
,,,,,,,,
AN 120/4,Acrilo Blanco Lacteos,DUREZA:,60,,,,,
47,ACRILO CJLT,100,1,1,"41,64",100,"5493,6","2287,6655"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,100,"2,7","0,3704","41,64","37,037","844,2","351,5449"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),17,"0,98","1,0204","7,08","17,3469","3844,2857","272,1448"
41,OXIDO DE ZINC SELLO BLANCO  (SELLO DORADO),"5,83","1,2","0,1795","2,43","4,8583","8114,4","196,9974"
53,AZUFRE,"2,33","2,07","0,4831","0,97","1,1256","2154,6","20,9054"
4,TMTD - VULKACIT THIURAM/C,"0,16","1,4","0,7143","0,07","0,1143","4813,2","3,2069"
37,LESTAROX-F - NOMANOX P,"1,16","1,33","0,7519","0,48","0,8722","8265,6","39,9271"
22,DIOXIDO DE TITANIO  TIONA,10,"3,16","0,2577","4,16","3,1646",4410,"183,6429"
3,MBT-S  - VULKACIT DM,"1,16","1,5","0,6667","0,48","0,7733","6249,6","30,1888"
54,ESTEARINA ANIMAL MATER 53 EF,"2,5","0,85","1,1765","1,04","2,9412","3490,2","36,3351"
,,,,,,,,
,,,,,,,,
AN 120/5,Acrilo Blanco Lacteos,DUREZA:,70,,,,,
47,ACRILO CJLT,100,1,1,"44,03",100,"5493,6","2418,5965"
16,CARBONATO DE CALCIO PREC.GEOQUIMICA IND,100,"2,7","0,3704","44,03","37,037","844,2","371,6651"
29,DIOCTIL FTALATO   KALFLEX 10 (DOP),4,"0,98","1,0204","1,76","4,0816","3844,2857","67,699"
